stock_code,top10_ratio_latest,report_count,top10_ratio_std,long_term_institution_count,institution_count_current,turnover_avg,latest_report_date,data_sufficient,filter_mode
603899,73.8,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600020,73.75,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
301238,73.74000000000001,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
603698,73.74,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605369,73.68,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301558,73.66,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601702,73.6,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000927,73.45,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601186,73.42,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
600640,73.38,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301339,73.38,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
605050,73.35,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601595,73.33,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
601886,73.28,1,,0.0,3.0,0.0,2025-12-31,False,relaxed
301326,73.27,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
300981,73.26,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688502,73.25,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601618,73.25,1,,0.0,4.0,0.0,2026-01-12,False,relaxed
300413,73.24000000000001,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
601952,73.2,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
301107,73.19,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
002651,73.13000000000001,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
600248,73.1,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
688112,73.08,1,,0.0,3.0,0.0,2025-10-24,False,relaxed
603709,73.02000000000001,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002724,73.01,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600378,72.95,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688728,72.9,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000828,72.75,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000061,72.75,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
603270,72.73,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601155,72.48,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
300487,72.44,1,,0.0,6.0,0.0,2026-01-30,False,relaxed
000967,72.42,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688160,72.4,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688315,72.38,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600547,72.38,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603238,72.32,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002423,72.28,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000899,72.21,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
002705,72.14,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603556,72.07,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603173,72.06,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
001269,72.02,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688223,71.87,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
301398,71.85,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002016,71.82000000000001,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601628,71.78,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
001339,71.74,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601985,71.7,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600095,71.69,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002690,71.62,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600009,71.54,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
601865,71.52,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688549,71.36,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600997,71.34,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300926,71.29,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
300488,71.27,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688334,71.23,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688443,71.2,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002990,71.15,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600335,71.13000000000001,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
603130,71.13,1,,0.0,2.0,0.0,2025-12-31,False,relaxed
605108,71.1,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301083,71.09,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600162,71.07,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603326,70.97,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600783,70.95,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301186,70.94,1,,0.0,2.0,0.0,2025-10-28,False,relaxed
002959,70.85000000000001,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
002244,70.72999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601199,70.72,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300774,70.68,1,,0.0,3.0,0.0,2025-12-31,False,relaxed
603486,70.65,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600810,70.64999999999999,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603939,70.61,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600569,70.6,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
600585,70.55,1,,0.0,7.0,0.0,2025-09-30,False,relaxed
000776,70.49,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688065,70.41,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300433,70.38,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
002314,70.36,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
600163,70.32000000000001,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600332,70.26,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
300820,70.22,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600642,70.2,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
300577,70.16,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
300389,70.04,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600377,70.00999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603650,69.95,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600874,69.95,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601518,69.76,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688472,69.67,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
688041,69.67,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
605338,69.65,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002267,69.62,1,,0.0,3.0,0.0,2025-12-09,False,relaxed
300033,69.55,1,,0.0,2.0,0.0,2025-12-31,False,relaxed
603298,69.5,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
